class,precision,recall,f1-score,support
acc,0.9625,1.0,0.980891719745223,77.0
good,1.0,0.8571428571428571,0.923076923076923,14.0
unacc,1.0,0.9958677685950413,0.9979296066252588,242.0
vgood,1.0,1.0,1.0,13.0
accuracy,0.9913294797687862,0.9913294797687862,0.9913294797687862,0.9913294797687862
macro avg,0.990625,0.9632526564344747,0.9754745623618513,346.0
weighted avg,0.9916546242774567,0.9913294797687862,0.9911870062045426,346.0
